Enzyme	Molecular-Weight-KiloDaltons	Names
MANNONOXIDOREDUCT-MONOMER	53.58	uxuB // b4323 // ECK4314
ALTRO-OXIDOREDUCT-MONOMER	54.808	uxaB // b1521 // ECK1514
EG11309-MONOMER	30.706	pdxI // ydbC // b1406 // ECK1399
CPLX0-8292		idnO // yjgU // b4266 // ECK4259
GLYCDEH-CPLX	310.0	gldA // b3945 // ECK3937
LACTALDREDUCT-CPLX	76.0	fucO // b2799 // ECK2794
G6539-MONOMER	35.343	ghrA // ycdW // b1033 // ECK1019
CPLX0-235		ghrB // tkrA // yiaE // b3553 // ECK3540
G6986-MONOMER	40.315	dmlA // ttuC // yeaU // b1800 // ECK1798
3-ISOPROPYLMALDEHYDROG-CPLX		leuB // b0073 // ECK0075
CPLX0-7643	228.0	ilvC // b3774 // ECK3766
G6190-MONOMER	37.978	yahK // b0325 // ECK0323
GLYC3PDEHYDROGBIOSYN-CPLX	49.0	gpsA // b3608 // ECK3598
PGLYCDEHYDROG-CPLX	163.0	serA // b2913 // ECK2909
G6437-MONOMER	41.054	yliI // b0837 // ECK0827
DLACTDEHYDROGFAD-MONOMER	64.612 // 72.0	dld // ldh // b2133 // ECK2126
EG12387-MONOMER	46.082	lhgD // ygaF // lhgO // b2660 // ECK2654
GLUCDEHYDROG-MONOMER	86.747	gcd // b0124 // ECK0123
ANGLYC3PDEHYDROG-CPLX		glpA // b2241 // ECK2233 // glpB // psi-51 // b2242 // ECK2234 // glpC // b2243 // ECK2235
AERGLYC3PDEHYDROG-CPLX		glpD // glyD // b3426 // ECK3412
EG12069-MONOMER	60.23	mqo // yojH // b2210 // ECK2202
RIBONUCLEOSIDE-TRIP-REDUCT-CPLX	145.0	nrdD // b4238 // ECK4233
CHD-MONOMER	61.878 // 65.0	betA // b0311 // ECK0309
CPLX0-7458		glcD // yghM // gox // b2979 // ECK2974 // glcE // yghL // b2978 // b4468 // ECK2973 // glcF // b4467 // ECK2972
CYTOCHROME-B561-MONOMER	20.286 // 18.0	cybB // b1418 // ECK1410
EG12097-MONOMER	26.339	pgeF // yfiH // b2593 // ECK2591
EG12244-MONOMER	51.571	ccp // yhjA // b3518 // ECK3503
G7266-MONOMER	33.052	yfeX // b2431 // ECK2426
EG10108-MONOMER	17.634 // 18.0	bcp // b2480 // ECK2476
CPLX0-7747		tpx // yzzJ // b1324 // ECK1320
CPLX0-8157		osmC // b1482 // ECK1476
CPLX0-245		ahpC // tpx // ssi8 // b0605 // ECK0599 // ahpF // b0606 // ECK0600
HYDROPEROXIDI-CPLX	340.0	katG // b3942 // ECK3934
HYDROPEROXIDII-CPLX	532.0	katE // b1732 // ECK1730
BTUE-MONOMER	20.47 // 22.0	btuE // b1710 // ECK1708
FORMHYDROG2-CPLX		hybA // hydL // b2996 // ECK2990 // hybB // b2995 // ECK2989 // hybO // yghV // b2997 // ECK2991 // hybC // b2994 // ECK2988
CPLX0-8167		hyaC // cybH // b0974 // ECK0965 // hyaB // b0973 // ECK0964 // hyaA // b0972 // ECK0963
DHPDIOXYGEN-CPLX	134.0	mhpB // b0348 // ECK0345
G7756-MONOMER	26.279	yhhW // b3439 // ECK3424
EG11166-MONOMER	29.903	ygiD // b3039 // ECK3030
CPLX0-227	128.0	tauD // ssiD // yaiG // b0368 // ECK0365
EG10037-MONOMER	24.076 // 27.0	alkB // aidD // b2212 // ECK2204
CPLX0-8112		roxA // ycfD // b1128 // ECK1114
CPLX0-8201		glaH // csi-12 // ygaT // csiD // b2659 // ECK2653
EG10456-MONOMER	43.868 // 44.0	hmp // fsrB // hmpA // b2552 // ECK2549
HCAMULTI-CPLX		hcaC // yfhW // hcaa3 // phdB // b2540 // ECK2537 // hcaD // hcaa4 // phdA // yfhY // b2542 // ECK2539 // hcaF // yfhV // hcaA // phdC2 // digB // hcaB // hcaA2 // b2539 // ECK2536 // hcaE // yfhU // digA // phdC1 // hcaA1 // b2538 // ECK2535
G7201-MONOMER	21.146	epmC // yfcM // b2326 // ECK2320
OCTAPRENYL-METHOXYPHENOL-OH-MONOMER	42.288	ubiH // acd // visB // b2907 // ECK2902
MHPHYDROXY-MONOMER	62.186	mhpA // b0347 // ECK0344
CPLX0-1762		paaE // ydbR // b1392 // ECK1389 // paaA // ydbO // b1388 // ECK1385 // paaC // ydbP // b1390 // ECK1387 // paaB // ynbF // b1389 // ECK1386
CPLX0-8232		yeaX // b1803 // ECK1801 // yeaW // b1802 // ECK1800
EG11333-MONOMER	44.245	ubiI // visC // b2906 // ECK2901
CPLX0-225	181.0	ssuD // ssi6 // ycbN // b0935 // ECK0926
G6523-MONOMER	42.219	rutA // ycdM // b1012 // ECK1003
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON	42.954	ubiF // yleB // b0662 // ECK0654
G6886-MONOMER	17.681 // 15.7	sodC // b1646 // ECK1642
SUPEROX-DISMUTMN-CPLX	45.0	sodA // b3908 // ECK3901
SUPEROX-DISMUTFE-CPLX		sodB // b1656 // ECK1652
G7593-MONOMER	28.872 // 28.0	nfeF // yqjH // b3070 // ECK3060
EG12318-MONOMER	56.556 // 54.0	cueO // yacK // b0123 // ECK0122
CPLX0-1421	500.0	bfr // b3336 // ECK3323
CPLX0-3969	500.0	ftnA // ftn // gen-165 // rsgA // b1905 // ECK1904
G6236-MONOMER	36.42	yajO // b0419 // ECK0413
CPLX0-761		xdhA // ygeS // b2866 // ECK2862 // xdhB // ygeT // b2867 // ECK2863 // xdhC // ygeU // b2868 // ECK2864
DIHYDROPICRED-CPLX	120.0	dapB // b0031 // ECK0032
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX		nrdE // b2675 // ECK2669 // nrdF // ygaD // b2676 // ECK2670
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX		nrdA // dnaF // b2234 // ECK2226 // nrdB // ftsB // b2235 // ECK2227
FORMATEDEHYDROGN-CPLX		fdnG // b1474 // ECK1468 // fdnH // b1475 // ECK1469 // fdnI // b1476 // ECK1470
FORMATEDEHYDROGO-CPLX		fdoG // b3894 // ECK3887 // fdoH // b3893 // ECK3886 // fdoI // b3892 // ECK3885
EG10370-MONOMER	40.684 // 40.0	ispG // gcpE // b2515 // ECK2511
CPLX0-7564		ispH // yaaE // lytB // b0029 // ECK0030
HYDROG3-CPLX		hycD // hevD // b2722 // ECK2717 // hycC // hevC // b2723 // ECK2718 // hycF // hevF // b2720 // ECK2715 // hycG // hevG // b2719 // ECK2714 // hycB // hevB // b2724 // ECK2719 // hycE // hevE // b2721 // ECK2716
FORMATEDEHYDROGH-MONOMER	79.374 // 80.0	fdhF // chlF // b4079 // ECK4072
FHLMULTI-CPLX		fdhF // chlF // b4079 // ECK4072 // hycE // hevE // b2721 // ECK2716 // hycB // hevB // b2724 // ECK2719 // hycG // hevG // b2719 // ECK2714 // hycF // hevF // b2720 // ECK2715 // hycC // hevC // b2723 // ECK2718 // hycD // hevD // b2722 // ECK2717
G7843-MONOMER	43.073	queG // yjeS // b4166 // ECK4162
EG12450-MONOMER	41.404	norW // ygaL // ygbD // b2711 // ECK2706
FLAVONADPREDUCT-MONOMER	27.751 // 27.5	fpr // flxR // mvrA // b3924 // ECK3916
E2O		sucB // b0727 // ECK0715
E1P-CPLX		aceE // b0114 // ECK0113
E2P-MONOMER	66.096	aceF // b0115 // ECK0114
E1O		sucA // lys+met // b0726 // ECK0714
ADHE-CPLX		adhE // adhC // ana // b1241 // ECK1235
G7285-MONOMER	49.022	eutE // yffX // b2455 // ECK2450
MHPF-MONOMER	33.442 // 35.3	mhpF // b0351 // ECK0348
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX	77.0	asd // dap // hom // b3433 // ECK3419
GAPDH-A-CPLX	144.0	gapA // gad // gap1 // b1779 // ECK1777
CPLX0-3641	202.0	patD // prr // ydcW // b1444 // ECK1438
ALDHDEHYDROG-MONOMER	53.419	puuC // aldH // b1300 // ECK1295
ALD-CPLX	220.0	aldA // ald // b1415 // ECK1408
CPLX0-7687	96.0	sad // yneI // b1525 // ECK1518
N-ACETYLGLUTPREDUCT-MONOMER	35.952	argC // Arg2 // b3958 // ECK3949
PHENDEHYD-CPLX		feaB // ydbG // padA // b1385 // ECK1382
CPLX0-3482		aldB // yiaX // b3588 // ECK3577
GLUTSEMIALDEHYDROG-CPLX	189.0	proA // pro(1) // pro1 // b0243 // ECK0244
CPLX0-3741	85.0	hemA // gtrA // b1210 // ECK1198
SUCCGLUALDDEHYD-MONOMER	53.026	astD // ydjU // b1746 // ECK1744
ERYTH4PDEHYDROG-CPLX	132.0	epd // gapB // gap2 // b2927 // ECK2923
CPLX0-7688		gabD // b2661 // ECK2655
BADH-CPLX	232.0	betB // b0312 // ECK0310
PYRUVOXID-CPLX	252.0	poxB // b0871 // ECK0862
PYRUFLAVREDUCT-MONOMER	200.0 // 200.0	
G6701-MONOMER	128.824 // 128.0	ydbK // pfo // b1378 // ECK1374
CPLX0-7805	135.0	paoA // yagT // b0286 // ECK0285 // paoB // yagS // b0285 // ECK0284 // paoC // yagR // b0284 // ECK0283
EG12237-MONOMER	15.853	arsC // arsG // b3503 // ECK3488
G6890-MONOMER	39.516 // 40.0	nemA // ydhN // b1650 // ECK1646
CPLX0-7788		preT // yeiT // b2146 // ECK2139 // preA // yeiA // b2147 // ECK2140
ENTA-CPLX	210.0	entA // b0596 // ECK0589
DIENOYLCOAREDUCT-MONOMER	72.678 // 73.0	fadH // ygjL // b3081 // ECK3071
TRANSENOYLCOARED-CPLX	80.0	
CPLX0-8121		yhdH // acuI // b3253 // ECK3241
PHENPRODIOLDEHYDROG-MONOMER	28.5	hcaB // yfhX // phdD // b2541 // ECK2538
CPLX0-8006		fabI // envM // gts // qmeA // b1288 // ECK1283
UDPNACETYLMURAMATEDEHYDROG-MONOMER	37.851 // 37.0	murB // yijB // b3972 // ECK3964
CPLX0-7808		hemF // popB // sec // b2436 // ECK2431
CPLX0-8160		sdhD // cybS // dhsD // b0722 // ECK0711 // sdhC // cybL // cybA // dhsC // b0721 // ECK0710 // sdhB // dhsB // b0724 // ECK0713 // sdhA // dhsA // b0723 // ECK0712
DIHYDROOROTOX-MONOMER	36.775 // 37.0	pyrD // b0945 // ECK0936
CPLX0-7811		hemG // yihB // b3850 // ECK3842
FUMARATE-REDUCTASE		frdA // b4154 // ECK4150 // frdB // b4153 // ECK4149 // frdC // b4152 // ECK4148 // frdD // b4151 // ECK4147
CROBETREDUCT-MONOMER	42.558 // 47.0	caiA // yaaO // b0039 // ECK0040
CPLX0-7691	200.0	aidB // b4187 // ECK4183
ACYLCOADEHYDROG-MONOMER	89.224	fadE // yafH // b0221 // ECK0222
HEMN-MONOMER	52.729 // 54.0	hemN // yihJ // b3867 // ECK3860
GCVP-CPLX	180.0	gcvP // b2903 // ECK2898
GCVT-MONOMER	40.147 // 43.3	gcvT // b2905 // ECK2900
GLUTAMATESYN-CPLX	800.0	gltB // psiQ // ossB // aspB // b3212 // ECK3202 // gltD // b3213 // ECK3203
GDHA-CPLX	300.0	gdhA // b1761 // ECK1759
EG11822-MONOMER	47.17	puuB // ycjA // ordL // b1301 // ECK1296
L-ASPARTATE-OXID-MONOMER	60.337 // 60.0	nadB // nic // nicB // b2574 // ECK2572
AMINEOXID-CPLX	143.0	tynA // feaA // maoA // b1386 // ECK1383
PDXH-CPLX	51.0	pdxH // b1638 // ECK1634
DALADEHYDROG-CPLX	100.0	dadA // dadR // b1189 // ECK1177
PYRROLINECARBREDUCT-CPLX	280.0	proC // pro(3) // Pro2 // pro3 // b0386 // ECK0381
METHYLENETHFREDUCT-CPLX		metF // b3941 // ECK3933
DIHYDROFOLATEREDUCT-MONOMER	17.999	folA // tmr // tmrA // b0048 // ECK0049
SULFITE-REDUCT-CPLX	670.0	cysJ // b2764 // ECK2759 // cysI // b2763 // ECK2758
FMNREDUCT-MONOMER	26.242 // 28.5	fre // fadI // flrD // fsrC // b3844 // ECK3836
CPLX0-224	58.4	ssuE // ssi4 // ycbP // b0937 // ECK0928
G6518-MONOMER	17.749	rutF // ycdH // b1007 // ECK0998
G6862-MONOMER	26.348	folM // ydgB // b1606 // ECK1601
SARCOX-MONOMER	40.902 // 41.0	solA // b1059 // ECK1044
PUTA-CPLX	293.0	putA // putC // poaA // b1014 // ECK1005
G6456-MONOMER	35.74 // 34.6	hcr // ybjV // b0872 // ECK0863
UDHA-CPLX	386.0	sthA // sth // udhA // b3962 // ECK3954
G7868-MONOMER	29.733	qorB // ytfG // b4211 // ECK4207
CPLX0-7693	42.0	azoR // acpD // b1412 // ECK1405
CPLX0-253	42.0	mdaB // mda66 // b3028 // ECK3019
CPLX0-7939		kefF // yabF // b0046 // ECK0047
CPLX0-7632		wrbA // b1004 // ECK0995
CPLX0-3121	50.0	yieF // chrR // b3713 // ECK3706
QOR-CPLX		qorA // hzc // hcz // qor // b4051 // ECK4043
NQOR-CPLX	50.0	
NADH-DHII-MONOMER	47.359 // 45.0	ndh // b1109 // ECK1095
CPLX0-3501		queF // yqcD // b2794 // ECK2789
NITRITREDUCT-CPLX		nirD // b3366 // ECK3354 // nirB // b3365 // ECK3353
GMP-REDUCT-CPLX	155.98	guaC // b0104 // ECK0104
CYTOCHROMEC552-MONOMER	53.703 // 69.0	nrfA // b4070 // ECK4063
TORA-MONOMER	94.456	torA // b0997 // ECK0988
G7022-MONOMER	88.964	torZ // bisZ // b1872 // ECK1873
TMAOREDUCTI-CPLX		torC // b0996 // ECK0987 // torA // b0997 // ECK0988
NITRATREDUCTA-CPLX		narG // chlC // narC // b1224 // ECK1218 // narH // b1225 // ECK1219 // narI // chlI // b1227 // ECK1221
NITRATREDUCTZ-CPLX		narY // chlZ // b1467 // ECK1461 // narZ // b1468 // ECK1462 // narV // b1465 // ECK1459
G6457-MONOMER	60.064 // 60.0	hcp // priS // ybjW // b0873 // ECK0864
CPLX0-7841	530.0	cysJ // b2764 // ECK2759
PYRUVATEDEH-CPLX		aceE // b0114 // ECK0113 // aceF // b0115 // ECK0114 // lpd // dhl // lpdA // b0116 // ECK0115
GCVMULTI-CPLX		lpd // dhl // lpdA // b0116 // ECK0115 // gcvP // b2903 // ECK2898 // gcvH // gcv // b2904 // ECK2899 // gcvT // b2905 // ECK2900
2OXOGLUTARATEDEH-CPLX		sucA // lys+met // b0726 // ECK0714 // sucB // b0727 // ECK0715 // lpd // dhl // lpdA // b0116 // ECK0115
E3-CPLX	115.0	lpd // dhl // lpdA // b0116 // ECK0115
GLUTATHIONE-REDUCT-NADPH-CPLX	109.0	gor // gorA // b3500 // ECK3485
THIOREDOXIN-REDUCT-NADPH-CPLX		trxB // trxR // b0888 // ECK0879
CPLX0-8191		dnaJ // groP // grpC // b0015 // ECK0015
EG11433-MONOMER	23.315 // 24.0	msrA // pms // pmsR // b4219 // ECK4215
EG12394-MONOMER	15.451	msrB // yeaA // b1778 // ECK1776
EG10124-MONOMER	85.851 // 79.0	bisC // b3551 // ECK3538
CPLX0-8217	36.0	msrC // yebR // b1832 // ECK1831
DISULFOXRED-MONOMER	23.105 // 21.1	dsbA // dsf // iarA // ppfA // b3860 // ECK3852
EG12053-MONOMER	20.809	ccmG // yejQ // dsbE // b2195 // ECK2187
EG12052-MONOMER	39.089	ccmH // yejP // b2194 // ECK2186
RED-THIOREDOXIN-MONOMER	11.807	trxA // dasC // fipA // tsnC // b3781 // ECK3773
DSBD-MONOMER	61.795	dsbD // htrI // cutA2 // cycZ // dipZ // b4136 // ECK4130
PAPSSULFOTRANS-CPLX	60.0	cysH // b2762 // ECK2757
DSBBPROT-MONOMER	20.142	dsbB // ycgA // roxB // dsbX // iarB // rosB // b1185 // ECK1173
CPLX0-8213		msrQ // yedZ // b1972 // ECK1968 // msrP // yedY // b1971 // ECK1967
DIMESULFREDUCT-CPLX		dmsA // b0894 // ECK0885 // dmsB // b0895 // ECK0886 // dmsC // b0896 // ECK0887
CPLX0-7984		yqjG // b3102 // ECK3093
NAP-CPLX		napB // yejY // b2203 // ECK2195 // napA // yojD // yojC // yojE // b2206 // ECK2198
CPLX0-229		nrdG // yjgE // b4237 // ECK4232
CPLX0-8542		rclA // ykgC // b0304 // ECK0303
PFLACTENZ-MONOMER	28.204 // 29.5	pflA // act // b0902 // ECK0893
CPLX0-1601		ynfE // b1587 // ECK1582 // ynfF // b1588 // ECK1583 // ynfG // b1589 // ECK1584 // ynfH // b1590 // ECK1585
EG11503-MONOMER	26.362	trmO // tsaA // yaeB // b0195 // ECK0195
EG12167-MONOMER	29.814	cmoM // ycbD // smtA // b0921 // ECK0912
MMUM-MONOMER	33.423 // 34.0	mmuM // yagD // b0261 // ECK0263
SIROHEMESYN-CPLX	100.0	cysG // b3368 // ECK3356
HOMOCYSMETB12-MONOMER	135.996 // 124.0	metH // b4019 // ECK4011
HOMOCYSMET-MONOMER	84.673	metE // metB12 // b3829 // ECK3823
G6806-MONOMER	29.006 // 29.0	tam // yneD // lsrE // b1519 // ECK1512
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	28.073	ubiE // yigO // b3833 // ECK3827
EG11507-MONOMER	23.335 // 23.0	rlmE // ftsJ // mrsF // rrmJ // b3179 // ECK3168
EG10376-MONOMER	23.431	rsmG // gidB // b3740 // ECK3733
EG10343-MONOMER	21.678	rsmD // yhhF // b3465 // ECK3449
G7950-MONOMER	37.625 // 37.0	rsmC // yjjT // b4371 // ECK4362
G7603-MONOMER	42.331	rlmG // ygjO // b3084 // ECK3074
EG12163-MONOMER	48.348 // 47.0	rsmB // yhdB // rrmB // fmu // fmv // sun // b3289 // ECK3275
CPLX0-7423	36.8	rlmH // ybeA // b0636 // ECK0629
G7008-MONOMER	53.228	rsmF // yebU // b1835 // ECK1834
G6416-MONOMER	34.226	rlmF // ybiN // b0807 // ECK0796
EG10523-MONOMER	30.42 // 30.0	rsmA // ksgA // b0051 // ECK0052
CPLX0-1121	60.0	rlmB // yjfH // b4180 // ECK4176
EG11794-MONOMER	41.905	rlmM // ygdE // b2806 // ECK2801
EG12207-MONOMER	30.419	rlmA // rrmA // yebH // b1822 // ECK1820
G6449-MONOMER	41.956	rlmC // ybjF // rumB // b0859 // ECK0850
EG11247-MONOMER	48.052	rlmD // ygcA // rumA // b2785 // ECK2779
CPLX0-7726	100.0	rlmI // yccW // b0967 // ECK0958
EG12401-MONOMER	43.086	rlmN // yfgB // b2517 // ECK2513
CPLX0-7727		rsmE // yggJ // b2946 // ECK2941
EG10119-MONOMER	28.276	bioC // b0777 // ECK0766
CPLX0-8231		rsmI // yraL // b3146 // ECK3134
CPLX0-7977		rsmH // yabC // mraW // b0082 // ECK0083
CPLX0-7420	58.0	trmJ // yfhQ // b2532 // ECK2529
CPLX0-7421		trmL // yibK // b3606 // ECK3596
EG11538-MONOMER	27.27	yfiC // trmM // b2575 // ECK2573
CPLX0-3950	46.0	trmD // b2607 // ECK2604
EG12233-MONOMER	26.949	rsmJ // yhiQ // b3497 // ECK3482
G6488-MONOMER	78.854	rlmL // ycbY // rlmK // rlmKL // b0948 // ECK0939
CPLX0-7913		tehB // b1430 // ECK1423
EG12234-MONOMER	31.942	rlmJ // yhiR // b3499 // ECK3484
EG12424-MONOMER	30.975	prmC // hemK // b1212 // ECK1200
EG12449-MONOMER	35.002	prmB // yfcB // b2330 // ECK2324
EG11779-MONOMER	27.307	trmB // trmI // yggH // b2960 // ECK2955
